field7,field8,error_code
AUTHNEGATIVE,58 | Transaction not permitted to acquirer/terminal | Decline - Inactive card or card not authorized for card-not-present transactions.,E1642     
AUTHNEGATIVE,CA | Acquirer compliance,E1642     
AUTHNEGATIVE,51 | Insufficient funds/over credit limit / Not sufficient funds | Decline - Insufficient funds in the account.,E706      
AUTHNEGATIVE,15005 | Command not authorized. Please check / contact the merchant,E1903     
AUTHNEGATIVE,62 | Restricted card | Decline - General decline of the card. No other information provided by the issuing bank.,E1626     
AUTHNEGATIVE,05 | Do not honour,E307      
AUTHNEGATIVE,87 | No Envelope Inserted,E9224     
AUTHNEGATIVE,13004 | Issuer Declined,E329      
AUTHNEGATIVE,13006 | Issuer Insufficient Funds,E1703     
AUTHNEGATIVE,61 | Exceeds withdrawal amount limit(s) / Withdrawal amount limit exc | Decline - The card has reached the credit limit.,E909      
AUTHNEGATIVE,15054 | expired card,E311      
AUTHNEGATIVE,14 | Invalid card number,E1632     
AUTHNEGATIVE,12 | Invalid transaction,E207      
AUTHNEGATIVE,46 | Closed account,E717      
AUTHNEGATIVE,74 | AUTHORIZATION_FAILED_BY_BANK | Decline - Generic Decline.,E1903     
AUTHNEGATIVE,15120 | account closed,E1703     
AUTHNEGATIVE,"07 | Pickup card, special condition (other than lost/stolen card)",E310      
AUTHNEGATIVE,IPAY0200085 | IPAY0200085-Checkbin Failure,E500      
AUTHNEGATIVE,K | UNKNOWN,E500      
AUTHNEGATIVE,57 | Authorisation declined by bank,E1642     
AUTHNEGATIVE,19 | Authorisation declined by bank,E345      
AUTHNEGATIVE,12001 | Suspected fraud,E205      
AUTHNEGATIVE,CA | Compliance error code for acquirer,E1642     
AUTHNEGATIVE,NPCI452 | NPCI452 - Exhausted OTP verification,E500      
AUTHNEGATIVE,12 | Invalid transaction | Decline - Inactive card or card not authorized for card-not-present transactions.,E207      
AUTHNEGATIVE,O6 | Suspected Fraud. Do not retry,E1903     
AUTHNEGATIVE,30 | Format error | Decline - General decline of the card. No other information provided by the issuing bank.,E2102     
AUTHNEGATIVE,14 | Invalid card number,E1703     
AUTHNEGATIVE,04 | Pick Up Card | We encountered a problem with Rupay processor: Pick-up,E310      
AUTHNEGATIVE,00 |  | Soft Decline - The authorization request was approved by the issuing bank but declined by CyberSource because it did not pass the card verification number (CVN) check.,
AUTHNEGATIVE,52 | No checking account,E707      
AUTHNEGATIVE,65 | Exceeds withdrawal count limit / Withdrawal count limit exceeded,E909      
AUTHNEGATIVE,Blc|204 | Invalid cvv or expiry,E1703     
AUTHNEGATIVE,58 | Transaction not permitted to acquirer/terminal | We encountered a problem with Rupay processor: DECLINED (terminal not allowed),E1642     
AUTHNEGATIVE,62 | Authorisation declined by bank,E1626     
AUTHNEGATIVE,BANK_DENIED,E312      
AUTHNEGATIVE,UNKNOWN_ERROR,E231      
AUTHNEGATIVE,"36 | Restricted Card, Retain Card | Soft Decline - The authorization request was approved by the issuing bank but declined by CyberSource because it did not pass the Address Verification Service (AVS) check.",E1626     
AUTHNEGATIVE,1 | AUTHORIZATION_FAILED_BY_BANK,E307      
AUTHNEGATIVE,5102 | Transaction failed. ECI-7 transactions are not supported by merchant.,E231      
AUTHNEGATIVE,1 | AUTHORIZATION_FAILED_BY_BANK,E324      
AUTHNEGATIVE,50305 | Referenced transaction is not in the correct transaction state,E1903     
AUTHPOSITIVE,No Error,E000      
AUTHPOSITIVE,0 | No Error,E000      
AUTHNEGATIVE,93 | Transaction cannot be completed; violation of law | The customer matched the Denied Parties List,E325      
AUTHNEGATIVE,14 | Invalid card number | Decline - Invalid account number,E1632     
AUTHPOSITIVE,00,E000      
AUTHNEGATIVE,"07 | Pick Up Card, Special Conditions | Decline - Stolen or lost card.",E310      
AUTHNEGATIVE,13007 | INVALID CVV2,E1903     
AUTHNEGATIVE,NPCI412 | NPCI412 - Issuer Authentication Server failure,E500      
AUTHPOSITIVE,,E000      
AUTHNEGATIVE,13008 | Suspected fraud,E1703     
AUTHNEGATIVE,GV00013 | Invalid payment id,E1903     
AUTHNEGATIVE,T5 | CAF status = 0 or 9,E9248     
AUTHNEGATIVE,96 | System malfunction | Payment processor error System malfunction,E4158     
AUTHNEGATIVE,NPCI56 | NPCI56 - DECLINED (no card),E500      
AUTHNEGATIVE,15096 | system error/ PREVIOUSLY AUTHORIZED /PREVIOUSLY DECLINED,E335      
AUTHNEGATIVE,04 | Pickup card,E310      
AUTHNEGATIVE,GenerateOtp Failure - 400 : GENERAL ERROR,E1903     
AUTHNEGATIVE,Blc|204 | UnMapped Error Code from Wibmo|INVALID CVV2,E1703     
AUTHNEGATIVE,NPCI96 | NPCI96 - SYSTEM ERROR,E500      
AUTHNEGATIVE,12009 | Acquirer Switch Timeout,E1903     
AUTHNEGATIVE,VRSNR | UNKNOWN,E231      
AUTHNEGATIVE,78 | Authorisation declined by bank,E1625     
AUTHNEGATIVE,10024 | Bad CRYPTOGRAM value passed,E1703     
AUTHNEGATIVE,10 | Partial Amount Approved | Partial amount was approved,E9202     
AUTHNEGATIVE,65 | SCA required under PSD2,E1703     
AUTHNEGATIVE,57 | Transaction not permitted to cardholder,E1703     
AUTHNEGATIVE,52 | No Checking Account | Decline - Invalid account number,E707      
AUTHNEGATIVE,15041 | transaction declined because card is lost,E310      
AUTHNEGATIVE,52 | No Checking Account,E707      
AUTHNEGATIVE,NPCI400 | NPCI400 - GENERAL ERROR,E500      
AUTHNEGATIVE,Token status is not active | UNKNOWN,E500      
AUTHNEGATIVE,N7,E1632     
AUTHNEGATIVE,T8 | UNKNOWN,E500      
AUTHNEGATIVE,82 | No security module,E313      
AUTHNEGATIVE,41 | Authorisation declined by bank,E310      
AUTHNEGATIVE,58 | Transaction not permitted acquirer/terminal,E1703     
AUTHERROR,,E209      
AUTHNEGATIVE,50822 | Processing error while provisioning Guest Checkout Token,E1903     
AUTHNEGATIVE,Problem occured in Tokenize,E1903     
AUTHNEGATIVE,16012 | AUTHORIZATION_FAILED_BY_BANK,E1903     
AUTHNEGATIVE,Blc|204 | UnMapped Error Code from Wibmo|account closed,E1703     
AUTHNEGATIVE,03 | Invalid merchant,E341      
AUTHNEGATIVE,Blc|204 | UnMapped Error Code from Wibmo|Transaction cannot be completed - violation of law,E1703     
AUTHNEGATIVE,50716 | Transaction declined. 3D Secure authentication failed.,E231      
AUTHNEGATIVE,93 | Transaction cannot be completed,E325      
AUTHNEGATIVE,Cancel api failed with response decision as  and reason code ,E312      
AUTHNEGATIVE,ITO | Late Authorization Request,E1645     
AUTHNEGATIVE,6P | UNKNOWN,E500      
AUTHNEGATIVE,15093 | AUTHORIZATION_FAILED_BY_BANK,E1903     
AUTHNEGATIVE,93 | Authorisation declined by bank,E325      
AUTHNEGATIVE,13008 | Suspected fraud,E1903     
AUTHNEGATIVE,9G | UNKNOWN,E500      
AUTHNEGATIVE,59,E324      
AUTHNEGATIVE,59 | Suspected fraud,E324      
AUTHNEGATIVE,15120 | account closed,E707      
AUTHNEGATIVE,IPAY0100357 | IPAY0100357-Transaction declined due to OTP Page refreshed.,E500      
AUTHNEGATIVE,15051 | insufficient funds,E713      
AUTHNEGATIVE,53 | No Savings Account | Payment processor error No savings account,E707      
AUTHNEGATIVE,01 | Refer to card issuer,E348      
AUTHNEGATIVE,15400 | General error,E308      
AUTHNEGATIVE,56 | No Card Record,E4346     
AUTHNEGATIVE,Transaction denied due to BEPG OTP page refresh.,E1903     
AUTHNEGATIVE,30 | Format error,E2102     
AUTHNEGATIVE,61 | Exceeds withdrawal amount limit(s) / Withdrawal amount limit exc,E909      
AUTHNEGATIVE,1 | AUTHORIZATION_FAILED_BY_BANK,E706      
AUTHNEGATIVE,13 | Invalid Amount,E1703     
AUTHNEGATIVE,91 | Issuer unavailable or switch inoperative,E4158     
AUTHNEGATIVE,400 | GENERAL ERROR,E4933     
AUTHNEGATIVE,50686 | Unable to get payer authentication,E1903     
AUTHNEGATIVE,Blc|102 | Blc|Invalid card scheme,E1703     
AUTHNEGATIVE,12 | Authorisation declined by bank,E207      
AUTHNEGATIVE,Blc|204 | Internal Server Error|domestic/International CardFlag or credit/debit card flag not avalible for pan.,E1703     
AUTHNEGATIVE,GW00555 | UNKNOWN,E500      
AUTHNEGATIVE,Warning: 490 Missing or Invalid Merchant Category Code,E000      
AUTHNEGATIVE,"82 |  Negative online CAM, dCVV, iCVV, CVV, or CAVV results or Offlin",E313      
AUTHNEGATIVE,15400 | general,E308      
AUTHNEGATIVE,43 | Stolen Card - Pick Up,E310      
AUTHPOSITIVE,AUTHORIZED,
AUTHNEGATIVE,36 | Restricted Card—Pick Up,E1626     
AUTHNEGATIVE,91 | Issuer unavailable or switch inoperative | Payment processor error Issuer inoperative or some other system problem,E4158     
AUTHNEGATIVE,10004 | INTERNAL_SERVER_ERROR,E1617     
AUTHNEGATIVE,Blc| | Blc|,E1703     
AUTHNEGATIVE,NPCI413 | NPCI413 - INVALID CVD2,E500      
